Desc	Family ID	human	chimp	orang	baboon	gibbon	macaque	marmoset	rat	mouse	cat	horse	cow
(null)	293	9	7	6	8	5	4	4	6	4	5	5	5
(null)	294	6	6	7	6	6	6	5	5	6	5	5	5
(null)	295	5	8	5	5	4	5	8	5	5	7	5	6
(null)	296	1	0	2	1	1	4	1	1	1	1	1	53
(null)	297	5	5	6	7	5	6	4	5	7	6	5	6
(null)	298	5	5	5	5	6	7	6	6	5	7	5	5
(null)	299	7	5	7	6	4	6	5	6	6	5	4	6
(null)	300	11	5	4	4	4	5	4	5	4	10	6	5
(null)	301	6	4	5	7	4	6	10	4	4	6	4	7
(null)	302	11	6	9	4	5	7	1	9	9	1	2	3
(null)	303	12	5	6	2	4	8	6	5	8	3	5	3
(null)	304	7	5	7	6	5	7	7	5	4	5	6	2
(null)	305	6	5	6	6	5	3	7	7	6	5	5	5
(null)	306	7	6	7	5	7	5	5	4	5	4	6	5
(null)	307	5	6	6	5	6	3	6	6	6	6	5	6
(null)	308	5	4	5	5	4	8	6	7	6	5	5	6
(null)	309	1	1	1	1	1	1	1	22	21	1	1	14
(null)	310	5	4	6	6	5	7	6	5	8	3	4	6
(null)	311	6	6	5	7	6	6	5	4	4	5	6	5
(null)	312	5	4	6	5	5	5	4	5	4	6	7	9
(null)	313	5	5	4	7	5	5	5	5	6	5	7	6
(null)	314	1	1	2	7	1	6	17	22	4	2	1	1
(null)	315	4	5	6	7	5	6	6	5	5	6	5	5
(null)	316	5	4	5	6	4	5	5	5	6	7	6	7
(null)	317	3	4	4	4	4	4	4	12	12	5	5	4
(null)	318	1	2	3	7	2	9	9	5	2	15	4	6
(null)	319	16	4	6	4	4	9	7	4	3	3	2	2
(null)	320	6	5	5	5	5	5	5	8	5	5	5	5
(null)	321	6	5	6	5	5	4	4	5	4	5	7	8
(null)	322	4	5	5	6	5	7	6	5	6	5	5	5
(null)	323	3	5	5	6	6	8	5	6	5	5	5	5
(null)	324	8	5	5	4	5	4	5	8	5	4	6	5
(null)	325	1	1	7	15	2	11	14	5	1	3	1	3
(null)	326	4	5	5	5	5	4	6	6	6	5	6	6
(null)	327	4	4	4	4	4	5	6	11	7	4	5	5
(null)	328	6	5	5	5	5	6	7	5	4	5	5	5
(null)	329	3	4	7	5	4	11	7	4	4	5	4	5
(null)	330	5	4	7	5	6	5	5	5	5	5	5	6
(null)	331	6	6	5	5	5	5	5	5	6	5	5	5
(null)	332	5	6	5	5	5	5	6	5	5	6	4	6
(null)	333	5	5	6	5	5	5	5	5	6	6	5	5
(null)	334	5	4	5	7	3	6	4	9	8	2	4	6
(null)	335	9	4	5	3	8	4	5	5	5	5	5	5
(null)	336	6	4	4	4	6	2	4	9	9	5	5	5
(null)	337	5	5	5	5	5	6	5	4	6	5	5	6
(null)	338	6	5	5	5	5	5	5	5	6	5	5	5
(null)	339	5	5	7	5	5	4	5	4	4	8	5	5
(null)	340	6	4	5	5	5	5	5	5	4	7	5	6
(null)	341	5	5	6	5	5	5	5	5	5	6	5	5
(null)	342	2	4	6	5	6	4	4	3	2	9	10	7
(null)	343	5	5	5	5	5	7	5	5	5	5	5	5
(null)	344	6	4	5	5	5	5	3	7	5	4	3	10
(null)	345	6	5	5	5	4	6	5	5	6	5	5	5
(null)	346	6	7	5	3	2	1	10	7	7	5	1	8
(null)	347	6	4	5	4	7	6	6	5	3	6	6	3
(null)	348	6	6	5	5	5	6	5	4	3	5	6	5
(null)	349	4	5	5	6	5	4	5	6	3	8	5	5
(null)	350	4	5	5	5	5	6	6	5	5	5	5	5
(null)	351	5	5	5	5	5	5	5	5	5	6	5	5
(null)	352	3	3	2	6	3	5	15	4	3	6	5	6
(null)	353	2	3	4	2	1	15	11	4	5	8	3	3
(null)	354	6	5	5	5	5	4	5	5	5	5	6	5
(null)	355	5	5	4	6	3	6	3	7	6	3	7	6
(null)	356	5	5	5	5	5	6	5	5	5	5	5	5
(null)	357	5	4	6	5	5	5	5	5	6	5	5	5
(null)	358	5	5	5	5	5	5	5	6	4	5	5	6
(null)	359	8	6	5	6	6	7	8	2	2	3	5	3
(null)	360	2	1	4	6	3	12	15	5	2	3	3	5
(null)	361	4	5	5	5	5	5	5	6	5	5	5	5
(null)	362	3	5	3	4	9	6	5	1	2	14	4	4
(null)	363	5	5	5	5	5	5	5	4	4	5	6	6
(null)	364	5	5	5	5	5	3	5	5	6	6	5	5
(null)	365	5	5	5	5	5	4	5	6	5	5	5	5
(null)	366	6	6	6	6	6	2	0	6	7	8	2	5
(null)	367	5	4	5	5	5	5	6	5	5	5	5	5
(null)	368	5	4	9	4	6	5	4	5	6	4	4	4
(null)	369	5	4	6	4	5	5	6	6	4	5	4	6
(null)	370	8	6	11	7	3	5	11	2	2	3	1	1
(null)	371	6	5	4	5	5	5	5	4	7	5	5	4
(null)	372	4	5	5	5	6	5	5	5	6	5	4	5
(null)	373	5	5	5	5	5	5	5	5	5	5	5	5
(null)	374	4	5	5	5	5	5	6	5	5	5	5	5
(null)	375	4	5	5	5	5	5	5	5	4	5	5	7
(null)	376	5	4	5	5	5	5	5	5	5	6	5	5
(null)	377	5	3	3	3	1	4	4	9	7	5	9	7
(null)	378	5	5	5	5	5	5	5	5	5	5	5	5
(null)	379	5	6	5	4	3	4	4	6	8	6	4	4
(null)	380	5	4	4	5	5	5	5	5	5	6	5	5
(null)	381	5	4	5	5	5	4	5	4	5	5	6	6
(null)	382	4	5	5	5	5	4	5	6	5	5	5	5
(null)	383	5	5	5	5	5	5	5	4	5	5	5	5
(null)	384	5	6	5	4	5	5	4	5	5	5	5	5
(null)	385	6	4	5	5	5	5	5	5	4	5	5	5
(null)	386	5	4	4	5	6	4	4	6	6	5	5	5
(null)	387	5	5	5	5	4	4	1	5	10	3	8	4
(null)	388	4	5	5	5	5	5	5	6	4	5	5	5
(null)	389	10	3	4	4	3	5	4	5	4	9	4	4
(null)	390	0	0	0	0	0	0	0	8	51	0	0	0
(null)	391	5	5	6	5	5	3	8	5	5	2	5	5
(null)	392	6	4	5	5	5	4	5	5	5	5	5	5
(null)	393	4	5	5	5	4	5	6	5	5	5	5	5
(null)	394	3	1	8	6	3	12	5	6	3	5	1	6
(null)	395	1	1	0	1	1	1	2	12	28	3	6	3
(null)	396	7	4	4	5	4	3	4	5	5	7	5	5
(null)	397	5	5	3	5	4	6	6	5	4	5	5	5
(null)	398	5	5	4	5	4	5	5	6	4	5	5	5
(null)	399	4	3	4	6	3	8	12	4	3	3	3	5
(null)	400	5	5	4	4	6	6	4	5	5	5	4	5
(null)	401	1	1	4	6	2	7	26	3	1	5	1	1
(null)	402	6	6	5	5	3	7	3	6	8	2	4	3
(null)	403	5	5	5	5	5	5	5	4	5	5	5	4
(null)	404	6	5	5	5	4	2	6	4	4	4	5	8
(null)	405	1	2	4	5	1	8	9	9	1	9	2	7
(null)	406	5	4	5	5	5	4	5	5	5	4	5	5
(null)	407	10	4	4	4	4	5	6	4	4	3	4	5
(null)	408	4	5	5	5	4	5	7	4	5	4	3	6
(null)	409	6	6	7	4	6	8	4	4	3	3	3	3
(null)	410	5	4	5	7	4	6	5	4	5	4	4	4
(null)	411	5	5	4	5	4	5	5	5	6	4	4	5
(null)	412	11	0	3	4	3	1	4	1	8	4	11	6
(null)	413	4	4	5	6	6	3	8	6	7	2	3	2
(null)	414	4	5	5	5	3	3	6	7	5	4	4	5
(null)	415	8	4	4	4	5	3	3	4	4	8	5	4
(null)	416	2	3	5	1	1	18	9	5	3	3	2	4
(null)	417	4	3	4	5	4	6	9	3	3	8	3	4
(null)	418	2	5	5	5	5	5	5	5	5	5	4	5
(null)	419	9	2	3	7	2	13	9	2	2	3	1	3
(null)	420	2	5	7	6	4	6	4	4	1	7	5	5
(null)	421	5	5	5	4	5	5	6	3	3	5	6	4
(null)	422	4	4	6	4	5	5	4	3	6	5	5	5
(null)	423	3	4	5	4	4	5	4	3	5	7	6	5
(null)	424	5	3	5	3	4	6	5	4	6	4	5	5
(null)	425	6	4	5	5	4	6	4	4	4	4	4	5
(null)	426	5	4	5	5	5	4	4	4	6	6	3	4
(null)	427	4	4	4	6	3	7	4	5	5	4	5	4
(null)	428	5	5	4	4	4	7	5	4	5	4	4	4
(null)	429	26	2	3	3	4	6	4	1	4	1	1	0
(null)	430	8	4	5	4	4	6	4	4	4	5	4	3
(null)	431	7	5	3	5	5	5	5	5	4	3	4	4
(null)	432	5	3	8	4	3	5	4	7	5	3	4	4
(null)	433	4	4	4	5	5	5	4	6	5	5	4	4
(null)	434	7	5	7	4	4	4	14	2	2	2	2	2
(null)	435	5	5	5	4	5	5	5	4	5	4	4	4
(null)	436	4	5	5	4	5	3	5	5	4	5	6	3
(null)	437	3	2	4	4	4	3	4	3	3	15	5	4
(null)	438	8	6	7	9	3	13	1	1	2	1	1	2
(null)	439	10	4	3	4	4	4	3	5	4	6	3	4
(null)	440	3	2	2	7	3	6	14	6	1	5	2	3
(null)	441	2	2	2	3	2	2	10	9	13	2	3	4
(null)	442	9	14	6	3	2	4	4	3	3	2	2	2
(null)	443	2	4	6	5	4	4	4	4	4	7	4	5
(null)	444	5	4	4	4	5	3	4	5	6	4	6	3
(null)	445	5	4	5	5	2	4	5	5	5	4	4	5
(null)	446	5	0	4	3	0	0	1	5	11	3	12	9
(null)	447	5	3	4	3	3	7	6	4	6	3	3	6
(null)	448	2	3	4	5	4	6	4	6	4	5	5	5
